Name,Author,Description,Inspired by,Music style,Created on,Demo,# votes,Rating,Amp style,Tap,PowerLevel,Edit2,Edit3,Volume,Treble,Middle,Bass,Effect2,Master,Gain,Edit1,Effect1,Red-Green,Edit2Hold,TapOnOff,AmpPower,Original order
PanterA – Acoustic,thecowboyfromhell,"have all these settings on, turn the amp off and on, then just reset the gain,us 2x12,acoustic,chorus delay, reverb as shown then it should work","PanterA, This Love Mainly",Soft Pantera parts ,09/07/2011,,0,,4,10,100,0,36,100,0,100,100,11,7,50,0,2,2,1,0,40,238
EarPorn,eduf93,Beware the awesomness!,-,Rock n39 Roll ,08/07/2011,,0,,7,10,86,0,95,86,40,54,82,1,100,87,0,7,2,1,0,20,240
My favorit clean,backwoodsboy96,my favorite clean tone,"John Mayer, I am gonna find another you",clean ,28/06/2011,,0,,3,5,50,53,42,60,42,36,50,9,58,0,24,6,3,36,0,20,242
Clean Metal,x700nitroxpress,Good for power chords on metal style songs. Always use with heavy distortion. Adjust the gain to personal preference to adjust the effect of the metal distortion.,-,Metal ,25/06/2011,,0,,10,5,14,0,23,51,50,49,61,9,100,18,0,10,1,1,0,20,243
JCM 800 Zakk Lead,robrocks7,Zakk sans chorus,-,Rock ,18/06/2011,,0,,10,5,14,0,23,51,50,49,61,9,100,18,0,10,1,1,0,20,244
BTQ Metal Randy Rhoads,robrocks7,All Aboard!,-,Rock ,18/06/2011,,0,,11,10,33,35,37,50,42,40,70,9,50,85,16,1,1,1,0,20,246
JCM 800 Rhythm,robrocks7,noise reduction is set at 12:00,"AC/DC, Back in Black",Rock ,18/06/2011,,0,,8,10,33,0,40,50,62,50,66,9,50,54,15,1,2,1,0,20,249
Clean Comp Chicken Pickin',robrocks7,Love the gradual swell of the notes!,-,Clean ,18/06/2011,,0,,1,3,33,31,43,81,64,43,61,9,50,36,50,1,2,1,0,20,250
Van Halen 1984 Lead,robrocks7,noise reduction is set at 12:00,"Van Halen, Panama",Rock ,17/06/2011,,0,,8,3,34,42,43,52,63,63,72,9,50,80,15,1,2,1,0,20,251
Bangers & Mash  - Live From the basement,thatslife,"Tono inspirado en la distorcion de jonny greenwood para la cancion Bangers & Mash, version Live From The Basement","Radiohead, Bangers Mash / In Rainbows From The Basement",Alternative rock ,06/06/2011,http://www.youtube.com/watch?v=MDsa7n6NCC8,0,,6,481,16,0,0,81,83,100,100,1,16,100,99,6,2,1,0,20,252
page 17 2012-12-20BRM Octave,stephany4048,This tone is in a BRM Octave fresh outgoing everlasting VOX AC30 echo down the hall into Paul :D,"U2, No Line on the Horizon",VOX AC30 ,06/06/2011,http://www.youtube.com/watch?v=jyO7GAo4rrA,0,,6,10,39,0,84,0,0,0,0,6,0,0,0,5,1,1,0,20,253
Eventide – The beast and the machine,caripu,"My first approach tho the sound of this sweden metal band. Deep, rich and powerful tone. Guitar setup: Pickup Bridge/Mid (HB/SC), tone: 0-2, vol: 7-8.","EVENTIDE, The Beast and The Machine",Metal ,24/05/2011,,0,,9,10,18,5,10,50,33,80,63,10,61,100,29,7,1,1,0,40,256
GENERAL MODERN METAL,caripu,"Intended to emulate the aprox tone of my Bugera 333 with 4X12 half stack, setup for metal (lead channel), at my rehersal lounge. Nice tone for not too extreme modern metal.",-,Metal Heavy Metal ,23/05/2011,,0,,10,10,0,0,18,50,62,18,80,1,66,65,34,1,1,1,0,40,257
